Energy (keV),LACm
0.129609,17084.28002
0.130257,15798.55984
0.132221,17084.28002
0.133546,17084.28002
0.136237,17084.28002
0.137603,17084.28002
0.138291,17084.28002
0.139677,15798.55984
0.140376,17084.28002
0.141078,17084.28002
0.142492,17084.28002
0.14464,17084.28002
0.14609,17084.28002
0.147555,17084.28002
0.154329,15798.55984
0.158226,17084.28002
0.161414,17084.28002
0.162221,17084.28002
0.170517,17084.28002
0.174823,17084.28002
0.1922,17084.28002
0.210253,17084.28002
0.212361,15798.55984
0.223221,15798.55984
0.228858,17084.28002
0.238174,17084.28002
0.245589,17084.28002
0.258596,17084.28002
0.269803,17084.28002
0.275239,17084.28002
0.282189,17084.28002
0.285018,17084.28002
0.289315,15798.55984
0.292216,17084.28002
0.296621,17084.28002
0.298104,15046.46174
0.299594,17084.28002
0.301092,17084.28002
0.302598,17084.28002
0.308695,17084.28002
0.310239,17084.28002
0.314916,17084.28002
0.31649,17084.28002
0.318073,17084.28002
0.319663,15798.55984
0.321261,17084.28002
0.322868,17084.28002
0.326104,17084.28002
0.33102,17084.28002
0.332676,15798.55984
0.334339,15798.55984
0.339379,17084.28002
0.341076,17084.28002
0.342781,15798.55984
0.344495,15798.55984
0.349689,15798.55984
0.351437,15798.55984
0.35496,15046.46174
0.356735,17084.28002
0.358519,15798.55984
0.360311,15798.55984
0.362113,15798.55984
0.363923,17084.28002
0.365743,17084.28002
0.367572,15046.46174
0.36941,15798.55984
0.371257,17084.28002
0.373113,15046.46174
0.374978,14512.83965
0.376853,14512.83965
0.378738,14512.83965
0.380631,15046.46174
0.382534,17084.27517
0.384447,17084.28002
0.386369,14098.9302
0.388301,15798.55984
0.390243,14098.9302
0.392194,15046.46174
0.394155,15046.46174
0.396126,14098.9302
0.398106,13474.80713
0.400097,13760.74156
0.402097,12475.02137
0.404108,13474.80713
0.406128,14512.83965
0.408159,13008.64346
0.4102,13227.11947
0.412251,13008.64346
0.414312,13227.11947
0.416384,13227.11947
0.418466,13227.11947
0.420558,13760.74156
0.422661,13474.80713
0.424774,13008.64346
0.424777,13760.74156
0.425823,12189.08695
0.426898,13474.80713
0.429032,13474.80713
0.431177,14098.9259
0.433333,14512.83965
0.4355,12813.21002
0.437678,15046.46174
0.439866,13008.64346
0.442065,12813.21002
0.444276,13227.11947
0.446497,12636.41896
0.448729,11941.39928
0.450973,13227.11947
0.453228,12475.02137
0.455494,12813.21002
0.457772,13760.74156
0.46006,12813.21002
0.462361,12636.41896
0.464673,13227.11947
0.466996,12326.54998
0.469331,12326.54998
0.471678,12636.41896
0.474036,12475.02137
0.476406,11722.92328
0.478788,12189.08695
0.481182,11622.63387
0.483588,11722.92328
0.486006,11622.63387
0.488436,12326.54998
0.490878,10838.2758
0.490922,11941.39928
0.492278,11040.8298
0.493333,11941.39928
0.495799,11189.30119
0.498278,10543.22636
0.50077,11040.8298
0.503273,11350.69878
0.50579,12061.11192
0.508319,11350.69878
0.51086,11040.8298
0.513415,10775.39174
0.515982,11268.24511
0.518562,10903.36676
0.521154,10489.45731
0.52376,10386.38068
0.526379,10714.56982
0.529011,10775.39174
0.531656,10714.56982
0.534314,10386.38068
0.536986,10437.20309
0.539671,10151.26867
0.542369,10023.29364
0.545081,9685.104997
0.547806,10151.26867
0.550545,9584.815593
0.553298,9617.646577
0.556065,10107.6219
0.558845,10151.26867
0.561639,10195.96727
0.564447,9791.128261
0.56727,9942.633016
0.570106,9399.170572
0.572956,9100.660491
0.575821,9284.986705
0.5787,8933.006903
0.581594,9075.762102
0.584502,8696.804736
0.587424,9341.200163
0.590361,8579.614057
0.593313,9026.946071
0.594108,8800.457518
0.595893,8469.389427
0.59628,9151.482907
0.599261,8676.751545
0.602258,9230.426827
0.605269,8382.288819
0.608295,8779.258405
0.611337,8487.311326
0.614393,8434.05689
0.617465,8656.91283
0.620553,8451.639032
0.623655,8399.384812
0.626774,8399.384812
0.629908,8382.288819
0.633057,8158.148987
0.636222,8299.095408
0.639403,8282.895286
0.6426,8203.951367
0.645813,7878.688921
0.649043,7904.814735
0.652288,7852.925977
0.655549,7681.958795
0.658827,7717.291332
0.662121,7557.876536
0.665432,7635.871899
0.668759,7557.876536
0.672103,7525.428441
0.675463,7219.687891
0.67884,7341.826826
0.682235,7174.772812
0.685646,7312.918675
0.689074,7275.062216
0.692519,7054.505558
0.695982,6949.406741
0.699462,7139.607737
0.702959,6638.933265
0.706474,6957.283195
0.710006,7096.568634
0.713556,6692.89786
0.717124,6686.0658
0.72071,6384.609091
0.724313,6396.238609
0.727935,6599.465773
0.731575,6437.525894
0.735233,6310.744116
0.738909,6255.861351
0.742603,6491.996755
0.746316,6299.636885
0.750048,6166.133086
0.753798,6202.555898
0.757567,6120.330707
0.761355,6095.365294
0.765162,5845.199469
0.768987,5929.426939
0.772832,5938.519615
0.776697,5703.407605
0.78058,5840.870641
0.784483,5731.727272
0.788405,5651.934232
0.792347,5459.236343
0.796309,5586.708616
0.800291,5648.03328
0.804292,5542.010016
0.808314,5410.603164
0.812355,5441.720612
0.816417,5424.368735
0.820499,5294.322351
0.824601,5369.908981
0.828725,5197.086284
0.832868,5246.635865
0.837032,5113.437232
0.841218,5101.789457
0.845424,5131.047195
0.849651,4924.734527
0.853899,4802.220541
0.858169,4903.745311
0.862459,4953.98807
0.866772,4837.125643
0.871106,4799.752274
0.875461,4563.818238
0.879838,4710.66133
0.884238,4559.479284
0.888659,4661.936897
0.893102,4570.34576
0.897568,4531.52081
0.902055,4388.330073
0.906566,4361.346705
0.911099,4310.156695
0.915654,4285.82793
0.920232,4239.440273
0.924833,4388.330073
0.929458,4285.82793
0.934105,4195.782925
0.938775,4154.552271
0.943469,4043.048759
0.948187,4025.991436
0.952928,4025.991436
0.957692,3946.133697
0.962481,4134.765475
0.967293,3916.451305
0.97213,3808.338845
0.97699,3759.668229
0.981875,3931.144079
0.986785,3847.058631
0.991718,3783.604526
0.996677,3660.593163
1.001661,3747.984305
1.006669,3670.96967
1.011702,3564.100299
1.016761,3573.203491
1.021844,3454.916526
1.026954,3610.781318
1.032088,3352.91409
1.037249,3366.655221
1.042435,3352.911969
1.047647,3387.753646
1.052885,3380.652089
1.05815,3294.050771
1.063441,3394.925228
1.068758,3263.258206
1.074102,3116.018148
1.079472,3306.735546
1.084869,3054.348076
1.090294,3151.478291
1.095745,3177.879271
1.101224,3204.838431
1.10673,3101.323992
1.112264,3054.351428
1.117825,2960.409024
1.123414,3086.919175
1.129031,2895.508871
1.134677,2913.779696
1.14035,2948.477058
1.146052,2831.852803
1.151782,2802.104279
1.157541,2795.651757
1.163328,2734.040952
1.169145,2724.862192
1.174991,2690.844519
1.180866,2629.073671
1.18677,2575.010358
1.192704,2619.248777
1.198668,2596.43921
1.204661,2526.529725
1.210684,2468.360169
1.216738,2586.92923
1.222821,2410.880003
1.228935,2434.185965
1.23508,2426.337473
1.241256,2393.863144
1.247462,2319.057745
1.253699,2355.39003
1.259968,2390.135903
1.266267,2267.046483
1.272599,2346.63013
1.278962,2263.905494
1.285357,2187.738518
1.291783,2207.78128
1.298242,2182.233688
1.304733,2149.1037
1.311257,2105.092786
1.317813,2119.212744
1.324402,2059.759218
1.331025,2125.557602
1.33768,2064.670061
1.344368,2108.765301
1.35109,2052.418878
1.357845,1998.816807
1.364634,1995.493053
1.371458,2046.358832
1.378315,1940.642861
1.385207,1918.718208
1.392133,1873.642255
1.399093,1910.592496
1.406089,1860.978822
1.413119,1877.759606
1.420185,1807.603513
1.427286,1834.521495
1.434422,1802.886448
1.441594,1752.207063
1.448802,1774.964885
1.456046,1779.252541
1.463326,1683.703938
1.470643,1707.953339
1.477996,1649.331153
1.485386,1665.124339
1.492813,1642.388505
1.500277,1669.051756
1.507779,1596.482612
1.515318,1608.463499
1.522894,1605.647942
1.530509,1595.114449
1.538161,1575.963307
1.545852,1549.563524
1.553581,1532.093061
1.561349,1510.212483
1.569156,1517.708962
1.577002,1466.310497
1.584887,1444.015416
1.592811,1473.729724
1.600775,1426.65586
1.608779,1421.618013
1.616823,1419.387191
1.624907,1382.283248
1.633032,1372.98474
1.641197,1348.629433
1.649403,1340.957811
1.65765,1318.509183
1.665938,1304.699806
1.674268,1307.907624
1.682639,1285.383615
1.691052,1300.660592
1.699507,1267.775321
1.708005,1279.337514
1.716545,1226.101497
1.725128,1210.392638
1.733753,1203.179679
1.742422,1201.145803
1.751134,1181.1032
1.75989,1206.073562
1.768689,1163.611483
1.777533,1137.597236
1.78642,1156.91418
1.795353,1144.142643
1.804329,1106.362433
1.808849,1110.22056
1.809551,1120.74522
1.813351,3199.707017
1.822418,3190.854477
1.83153,3130.450411
1.840688,3032.344703
1.849891,3099.238449
1.85914,2895.185175
1.868436,3103.754085
1.870939,3054.348363
1.872261,2910.025283
1.877778,3931.143289
1.887167,3803.45885
1.896603,3961.433574
1.906086,3966.269728
1.915617,3821.021083
1.925194,3876.931037
1.934821,3993.010352
1.944495,3961.434309
1.954217,3860.426517
1.963988,3887.910074
1.973808,3979.276616
1.983677,3732.69734
1.993596,3692.169242
2.003563,3833.927348
2.013581,3692.171099
2.023649,3759.667862
2.033768,3795.867891
2.043936,3724.217681
2.054156,3747.98212
2.064427,3546.218315
2.074749,3597.274551
2.085123,3511.70443
2.095548,3416.855297
2.106026,3431.844213
2.116556,3495.027981
2.127139,3359.790156
2.137775,3371.876495
2.148464,3221.387691
2.159206,3214.064997
2.170002,3241.495177
2.180852,3124.355668
2.191756,3156.680979
2.202715,3040.818868
2.213729,3131.00605
2.224797,3136.069983
2.235921,3006.223188
2.247101,2953.276323
2.258336,2901.213738
2.269628,2902.077826
2.27865,2757.852287
2.280976,2788.764884
2.283349,3335.865642
2.292381,3235.704424
2.303843,3218.797408
2.315362,3139.733708
2.326939,3161.925575
2.338573,3169.840631
2.350266,3054.347497
2.362018,2988.589281
2.373828,2980.512685
2.385697,2959.228581
2.397625,2924.74321
2.409614,2852.012341
2.421662,2782.913891
2.43377,2843.66912
2.445939,2821.80192
2.458169,2733.440619
2.470459,2745.299516
2.482812,2685.749259
2.495226,2676.18821
2.507702,2567.884451
2.52024,2563.48052
2.532841,2607.53835
2.545506,2513.142132
2.558233,2500.790575
2.571024,2471.639865
2.571655,2484.22103
2.578144,2655.045689
2.58388,2506.251132
2.596799,2569.078028
2.609783,2540.606519
2.622832,2443.857907
2.635946,2455.917577
2.649126,2425.626876
2.662371,2387.187132
2.675683,2416.639332
2.689062,2325.271986
2.702507,2311.205791
2.716019,2312.097953
2.7296,2309.36422
2.743248,2243.193748
2.756964,2302.182913
2.770749,2176.651767
2.784602,2188.050559
2.798525,2123.906936
2.812518,2130.355852
2.814046,2124.201998
2.825155,2190.74988
2.826581,2179.223385
2.840714,2147.332766
2.854917,2132.034598
2.869192,2138.30801
2.883538,2105.636343
2.897955,2077.416048
2.912445,2016.4353
2.927007,1990.837206
2.941642,2016.505619
2.956351,1970.75239
2.971132,1933.193633
2.985988,1923.374365
3.000918,1919.599619
3.015922,1891.135712
3.031002,1862.40224
3.046157,1789.175508
3.061388,1840.65766
3.076695,1822.340084
3.092078,1706.160077
3.107539,1753.185683
3.123076,1734.632709
3.138692,1718.742684
3.154385,1692.870221
3.170157,1665.460158
3.186008,1675.380424
3.201938,1662.279098
3.217948,1622.106584
3.234037,1599.808897
3.250208,1605.726914
3.266459,1554.728149
3.282791,1535.713903
3.299205,1503.406583
3.315701,1494.145984
3.332279,1476.799333
3.348941,1499.275817
3.365686,1468.09366
3.382514,1430.779736
3.399427,1432.091477
3.416424,1468.36757
3.433506,1390.110082
3.450673,1372.387717
3.467927,1371.491441
3.485266,1303.548154
3.502693,1309.475146
3.520206,1363.672255
3.537807,1280.997075
3.555496,1330.344462
3.573274,1321.903259
3.59114,1309.474944
3.609096,1286.424343
3.627141,1297.668626
3.645277,1209.968191
3.663503,1185.275893
3.681821,1180.724194
3.70023,1148.884045
3.718731,1140.798669
3.737325,1136.332827
3.756011,1125.548736
3.774791,1073.425485
3.793665,1057.641966
3.812634,1071.208955
3.831697,1125.548489
3.850855,1095.642216
3.87011,1064.680776
3.88946,1010.628467
3.908908,1018.742892
3.928452,1008.760535
3.948094,1023.566292
3.967835,960.1949897
3.987674,969.5925449
4.055024,941.4005997
4.334821,780.72036
4.633924,662.3768491
4.953664,570.7712481
5.295467,479.2020077
5.660855,399.2700059
6.051453,344.7576531
6.469004,267.3110376
6.915365,238.9942319
7.392525,205.3879815
7.902609,173.2916804
8.44789,145.6664431
9.030794,122.2168389
9.653919,103.7353053
10.00266,95.5006254
10.15577,90.0317299
10.19659,91.57352157
10.25783,233.4612907
10.32004,226.0447713
10.41094,215.404365
11.03212,184.255009
11.31312,180.3266004
11.48628,169.0157202
11.53246,166.809025
11.60172,231.0257517
11.77488,214.0920237
11.79334,209.9528947
11.8578,217.9413437
12.0393,208.2705974
12.0877,203.2946992
12.1603,228.4123901
12.3418,228.7153203
12.60708,213.8107695
13.47697,177.5707099
14.40688,150.6625848
15.40095,127.4417452
16.46362,108.4022349
17.59961,88.21898062
18.81398,75.21987003
20.11215,65.5896801
21.49988,53.7190866
22.98338,44.48550456
24.56923,37.10421419
26.2645,32.82418518
28.07676,27.41515173
30.01405,22.39441915
32.08502,18.45987417
34.29889,15.58156899
36.66551,12.89748324
39.19543,10.91209443
41.89992,8.816953383
44.79101,7.326862254
47.88159,6.316228783
51.18542,5.243076579
54.71721,4.226344577
58.4927,3.647140749
62.5287,2.947165272
66.84318,2.509928554
68.1345,2.437810004
69.17738,2.315608246
69.45548,2.300030431
69.87263,10.70904548
70.9155,10.52968333
71.45536,10.33272206
76.38578,8.694848333
81.6564,7.248125471
87.29069,6.052090748
93.31374,5.061833615
99.75239,4.307385639
106.6353,3.53819877
113.9931,3.133004788
121.8587,2.616758401
130.2669,2.144411068
139.2553,1.811988849
148.864,1.503162221
159.1356,1.321166798
170.1159,1.083660288
181.8539,0.888933629
194.4018,0.784848618
207.8156,0.710451535
222.1548,0.607875519
237.4835,0.500297146
253.8699,0.438143289
271.3869,0.37167321
290.1126,0.311306601
310.1304,0.288629837
331.5294,0.250354841
354.4049,0.211611534
378.8588,0.18169402
405.0001,0.159978766
432.9451,0.147955613
